Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner,KD_diff,STR_diff,TD_diff,SUB_diff,target,Time_seconds,Fighter 1_code,Fighter 2_code,Weight_Class_code,Method_code
"Kallang, Singapore",Demian Maia,Ben Askren,0.0,0.0,69.0,63.0,0.0,4.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,3.0,3:54,UFC Fight Night,2019-10-26,Demian Maia,0.0,6.0,-4.0,1.0,0,234,410,208,10,58
"Kallang, Singapore",Stevie Ray,Michael Johnson,0.0,0.0,85.0,78.0,1.0,0.0,0.0,0.0,Lightweight,M-DEC,3.0,5:00,UFC Fight Night,2019-10-26,Stevie Ray,0.0,7.0,1.0,0.0,0,300,1516,1542,6,19
"Kallang, Singapore",Beneil Dariush,Frank Camacho,0.0,0.0,13.0,3.0,2.0,0.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,1.0,2:02,UFC Fight Night,2019-10-26,Beneil Dariush,0.0,10.0,2.0,1.0,0,122,158,747,6,58
"Kallang, Singapore",Ciryl Gane,Don'Tale Mayes,1.0,0.0,94.0,32.0,3.0,0.0,1.0,0.0,Heavyweight,SUB Heel Hook,3.0,4:46,UFC Fight Night,2019-10-26,Ciryl Gane,1.0,62.0,3.0,1.0,0,286,297,625,4,44
"Kallang, Singapore",Muslim Salikhov,Laureano Staropoli,0.0,0.0,63.0,42.0,3.0,0.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-26,Muslim Salikhov,0.0,21.0,3.0,0.0,0,300,1190,1335,10,69
"Kallang, Singapore",Randa Markos,Ashley Yoder,0.0,0.0,78.0,44.0,0.0,2.0,0.0,0.0,Women's Strawweight,S-DEC,3.0,5:00,UFC Fight Night,2019-10-26,Randa Markos,0.0,34.0,-2.0,0.0,0,300,1323,183,14,32
"Kallang, Singapore",Rafael Fiziev,Alex White,0.0,0.0,66.0,55.0,1.0,0.0,0.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-26,Rafael Fiziev,0.0,11.0,1.0,0.0,0,300,1316,73,6,69
"Kallang, Singapore",Movsar Evloev,Enrique Barzola,0.0,0.0,71.0,78.0,4.0,1.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-26,Movsar Evloev,0.0,-7.0,3.0,0.0,0,300,1186,690,2,69
"Kallang, Singapore",Sergei Pavlovich,Maurice Greene,1.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punches,1.0,2:11,UFC Fight Night,2019-10-26,Sergei Pavlovich,1.0,12.0,0.0,0.0,0,131,1461,1519,4,14
"Kallang, Singapore",Loma Lookboonmee,Aleksandra Albu,0.0,0.0,99.0,65.0,1.0,1.0,0.0,0.0,Women's Strawweight,S-DEC,3.0,5:00,UFC Fight Night,2019-10-26,Loma Lookboonmee,0.0,34.0,0.0,0.0,0,300,980,48,14,32
"Kallang, Singapore",Raphael Pessoa,Jeff Hughes,1.0,0.0,39.0,34.0,0.0,0.0,0.0,0.0,Heavyweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-26,Raphael Pessoa,1.0,5.0,0.0,0.0,0,300,1330,996,4,69
"Boston, Massachusetts, USA",Dominick Reyes,Chris Weidman,1.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,Light Heavyweight,KO/TKO Punches,1.0,1:43,UFC Fight Night,2019-10-18,Dominick Reyes,1.0,5.0,-1.0,0.0,0,103,436,407,5,14
"Boston, Massachusetts, USA",Yair Rodriguez,Jeremy Stephens,0.0,0.0,96.0,50.0,0.0,3.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-18,Yair Rodriguez,0.0,46.0,-3.0,0.0,0,300,1665,1010,2,69
"Boston, Massachusetts, USA",Greg Hardy,Ben Sosoli,0.0,0.0,54.0,26.0,0.0,0.0,0.0,0.0,Heavyweight,Overturned,3.0,5:00,UFC Fight Night,2019-10-18,Greg Hardy,0.0,28.0,0.0,0.0,0,300,583,212,4,21
"Boston, Massachusetts, USA",Joe Lauzon,Jonathan Pearce,0.0,0.0,25.0,8.0,1.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,1.0,1:33,UFC Fight Night,2019-10-18,Joe Lauzon,0.0,17.0,1.0,0.0,0,93,765,1133,6,14
"Boston, Massachusetts, USA",Maycee Barber,Gillian Robertson,0.0,0.0,34.0,12.0,0.0,0.0,0.0,0.0,Women's Flyweight,KO/TKO Punches,1.0,3:04,UFC Fight Night,2019-10-18,Maycee Barber,0.0,22.0,0.0,0.0,0,184,1112,803,13,14
"Boston, Massachusetts, USA",Darren Stewart,Deron Winn,0.0,0.0,57.0,29.0,1.0,6.0,0.0,0.0,Middleweight,S-DEC,3.0,5:00,UFC Fight Night,2019-10-18,Darren Stewart,0.0,28.0,-5.0,0.0,0,300,384,595,7,32
"Boston, Massachusetts, USA",Charles Rosa,Manny Bermudez,0.0,0.0,6.0,27.0,0.0,1.0,1.0,0.0,Featherweight,SUB Armbar,1.0,2:46,UFC Fight Night,2019-10-18,Charles Rosa,0.0,-21.0,-1.0,1.0,0,166,255,1422,2,36
"Boston, Massachusetts, USA",Molly McCann,Diana Belbita,0.0,0.0,113.0,98.0,5.0,1.0,1.0,0.0,Women's Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-18,Molly McCann,0.0,15.0,4.0,1.0,0,300,1179,604,13,69
"Boston, Massachusetts, USA",Sean Woodson,Kyle Bochniak,0.0,0.0,111.0,42.0,0.0,1.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-18,Sean Woodson,0.0,69.0,-1.0,0.0,0,300,1457,1316,2,69
"Boston, Massachusetts, USA",Randy Costa,Boston Salmon,2.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Punch,1.0,2:15,UFC Fight Night,2019-10-18,Randy Costa,2.0,10.0,0.0,0.0,0,135,1325,243,0,13
"Boston, Massachusetts, USA",Sean Brady,Court McGee,1.0,0.0,119.0,107.0,2.0,0.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-18,Sean Brady,1.0,12.0,2.0,0.0,0,300,1449,461,10,69
"Boston, Massachusetts, USA",Brendan Allen,Kevin Holland,0.0,0.0,10.0,22.0,2.0,1.0,4.0,1.0,Middleweight,SUB Rear Naked Choke,2.0,3:38,UFC Fight Night,2019-10-18,Brendan Allen,0.0,-12.0,1.0,3.0,0,218,191,1284,7,58
"Boston, Massachusetts, USA",Tanner Boser,Daniel Spitz,0.0,0.0,93.0,32.0,0.0,0.0,0.0,0.0,Heavyweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-18,Tanner Boser,0.0,61.0,0.0,0.0,0,300,1538,518,4,69
"Tampa, Florida, USA",Joanna Jedrzejczyk,Michelle Waterson-Gomez,0.0,0.0,180.0,58.0,3.0,1.0,1.0,1.0,Women's Strawweight,U-DEC,5.0,5:00,UFC Fight Night,2019-10-12,Joanna Jedrzejczyk,0.0,122.0,2.0,0.0,0,300,757,1555,14,69
"Tampa, Florida, USA",Cub Swanson,Kron Gracie,0.0,0.0,135.0,86.0,0.0,0.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-12,Cub Swanson,0.0,49.0,0.0,0.0,0,300,332,1309,2,69
"Tampa, Florida, USA",Niko Price,James Vick,1.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,Welterweight,KO/TKO Kick,1.0,1:44,UFC Fight Night,2019-10-12,Niko Price,1.0,2.0,0.0,0.0,0,104,1231,943,10,9
"Tampa, Florida, USA",Amanda Ribas,Mackenzie Dern,0.0,0.0,74.0,20.0,2.0,0.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-12,Amanda Ribas,0.0,54.0,2.0,0.0,0,300,77,1405,14,69
"Tampa, Florida, USA",Matt Frevola,Luis Pena,0.0,0.0,48.0,51.0,4.0,1.0,0.0,2.0,Lightweight,S-DEC,3.0,5:00,UFC Fight Night,2019-10-12,Matt Frevola,0.0,-3.0,3.0,-2.0,0,300,1090,1386,6,32
"Tampa, Florida, USA",Eryk Anders,Gerald Meerschaert,0.0,0.0,64.0,72.0,0.0,0.0,0.0,0.0,Middleweight,S-DEC,3.0,5:00,UFC Fight Night,2019-10-12,Eryk Anders,0.0,-8.0,0.0,0.0,0,300,501,788,7,32
"Tampa, Florida, USA",Ryan Spann,Devin Clark,0.0,0.0,17.0,17.0,0.0,2.0,1.0,0.0,Light Heavyweight,SUB Guillotine Choke,2.0,2:01,UFC Fight Night,2019-10-12,Ryan Spann,0.0,0.0,-2.0,1.0,0,121,1422,600,5,43
"Tampa, Florida, USA",Mike Davis,Thomas Gifford,2.0,0.0,139.0,88.0,2.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,3.0,4:45,UFC Fight Night,2019-10-12,Mike Davis,2.0,51.0,2.0,0.0,0,285,1145,2110,6,13
"Tampa, Florida, USA",Alex Morono,Max Griffin,1.0,0.0,81.0,75.0,0.0,4.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-12,Alex Morono,1.0,6.0,-4.0,0.0,0,300,48,1522,10,69
"Tampa, Florida, USA",Deiveson Figueiredo,Tim Elliott,0.0,0.0,8.0,26.0,0.0,1.0,1.0,0.0,Flyweight,SUB Guillotine Choke,1.0,3:08,UFC Fight Night,2019-10-12,Deiveson Figueiredo,0.0,-18.0,-1.0,1.0,0,188,408,2116,3,43
"Tampa, Florida, USA",Marlon Vera,Andre Ewell,0.0,0.0,80.0,50.0,0.0,0.0,2.0,0.0,Bantamweight,KO/TKO Elbows,3.0,3:17,UFC Fight Night,2019-10-12,Marlon Vera,0.0,30.0,0.0,2.0,0,197,1074,112,0,5
"Tampa, Florida, USA",Miguel Baeza,Hector Aldana,1.0,0.0,35.0,8.0,1.0,0.0,0.0,0.0,Welterweight,KO/TKO Kick,2.0,2:32,UFC Fight Night,2019-10-12,Miguel Baeza,1.0,27.0,1.0,0.0,0,152,1140,843,10,9
"Tampa, Florida, USA",Marvin Vettori,Andrew Sanchez,0.0,0.0,85.0,39.0,0.0,0.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-12,Marvin Vettori,0.0,46.0,0.0,0.0,0,300,1079,129,7,69
"Tampa, Florida, USA",JJ Aldrich,Lauren Mueller,0.0,0.0,74.0,54.0,1.0,1.0,0.0,0.0,Women's Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2019-10-12,JJ Aldrich,0.0,20.0,0.0,0.0,0,300,651,1336,13,69
"Melbourne, Victoria, Australia",Israel Adesanya,Robert Whittaker,2.0,0.0,40.0,32.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punch,2.0,3:33,UFC 243,2019-10-05,Israel Adesanya,2.0,8.0,0.0,0.0,0,213,645,1848,7,13
"Melbourne, Victoria, Australia",Dan Hooker,Al Iaquinta,1.0,0.0,98.0,37.0,0.0,0.0,0.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC 243,2019-10-05,Dan Hooker,1.0,61.0,0.0,0.0,0,300,357,30,6,69
"Melbourne, Victoria, Australia",Serghei Spivac,Tai Tuivasa,0.0,0.0,23.0,21.0,6.0,0.0,1.0,0.0,Heavyweight,SUB Arm Triangle,2.0,3:14,UFC 243,2019-10-05,Serghei Spivac,0.0,2.0,6.0,1.0,0,194,1464,2074,4,35
"Melbourne, Victoria, Australia",Dhiego Lima,Luke Jumeau,0.0,0.0,32.0,24.0,2.0,0.0,0.0,0.0,Welterweight,S-DEC,3.0,5:00,UFC 243,2019-10-05,Dhiego Lima,0.0,8.0,2.0,0.0,0,300,424,1396,10,32
"Melbourne, Victoria, Australia",Yorgan De Castro,Justin Tafa,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punch,1.0,2:10,UFC 243,2019-10-05,Yorgan De Castro,1.0,-2.0,0.0,0.0,0,130,1676,1225,4,13
"Melbourne, Victoria, Australia",Jake Matthews,Rostem Akman,0.0,0.0,59.0,15.0,0.0,0.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC 243,2019-10-05,Jake Matthews,0.0,44.0,0.0,0.0,0,300,670,1899,10,69
"Melbourne, Victoria, Australia",Callan Potter,Maki Pitolo,0.0,0.0,48.0,60.0,3.0,0.0,0.0,1.0,Welterweight,U-DEC,3.0,5:00,UFC 243,2019-10-05,Callan Potter,0.0,-12.0,3.0,-1.0,0,300,223,1415,10,69
"Melbourne, Victoria, Australia",Brad Riddell,Jamie Mullarkey,0.0,0.0,91.0,36.0,1.0,3.0,0.0,1.0,Lightweight,U-DEC,3.0,5:00,UFC 243,2019-10-05,Brad Riddell,0.0,55.0,-2.0,-1.0,0,300,181,949,6,69
"Melbourne, Victoria, Australia",Megan Anderson,Zarah Fairn,0.0,0.0,10.0,2.0,1.0,0.0,1.0,0.0,Women's Featherweight,SUB Triangle Choke,1.0,3:57,UFC 243,2019-10-05,Megan Anderson,0.0,8.0,1.0,1.0,0,237,1114,2292,12,66
"Melbourne, Victoria, Australia",Ji Yeon Kim,Nadia Kassem,1.0,0.0,80.0,45.0,0.0,1.0,0.0,0.0,Women's Flyweight,KO/TKO Punch,2.0,4:59,UFC 243,2019-10-05,Ji Yeon Kim,1.0,35.0,-1.0,0.0,0,299,745,1621,13,13
"Melbourne, Victoria, Australia",Khalid Taha,Bruno Silva,1.0,0.0,38.0,20.0,0.0,2.0,1.0,0.0,Bantamweight,Overturned Arm Triangle,3.0,3:00,UFC 243,2019-10-05,Khalid Taha,1.0,18.0,-2.0,1.0,0,180,928,296,0,22
"Copenhagen, Denmark",Jared Cannonier,Jack Hermansson,1.0,0.0,28.0,20.0,0.0,1.0,0.0,0.0,Middleweight,KO/TKO Punch,2.0,0:27,UFC Fight Night,2019-09-28,Jared Cannonier,1.0,8.0,-1.0,0.0,0,27,693,907,7,13
"Copenhagen, Denmark",Mark Madsen,Danilo Belluardo,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,1.0,1:12,UFC Fight Night,2019-09-28,Mark Madsen,0.0,22.0,1.0,0.0,0,72,1068,524,6,14
"Copenhagen, Denmark",Gilbert Burns,Gunnar Nelson,0.0,0.0,30.0,20.0,1.0,0.0,1.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-28,Gilbert Burns,0.0,10.0,1.0,1.0,0,300,569,823,10,69
"Copenhagen, Denmark",Ion Cutelaba,Khalil Rountree Jr.,0.0,0.0,15.0,5.0,4.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Elbows,1.0,2:35,UFC Fight Night,2019-09-28,Ion Cutelaba,0.0,10.0,4.0,0.0,0,155,636,1292,5,5
"Copenhagen, Denmark",Ovince Saint Preux,Michal Oleksiejczuk,0.0,0.0,14.0,37.0,1.0,0.0,1.0,0.0,Light Heavyweight,SUB Von Flue Choke,2.0,2:46,UFC Fight Night,2019-09-28,Ovince Saint Preux,0.0,-23.0,1.0,1.0,0,166,1252,1549,5,68
"Copenhagen, Denmark",Nicolas Dalby,Alex Oliveira,0.0,0.0,31.0,18.0,1.0,3.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-28,Nicolas Dalby,0.0,13.0,-2.0,0.0,0,300,1227,64,10,69
"Copenhagen, Denmark",John Phillips,Alen Amedovski,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punch,1.0,0:17,UFC Fight Night,2019-09-28,John Phillips,1.0,3.0,0.0,0.0,0,17,790,51,7,13
"Copenhagen, Denmark",Makhmud Muradov,Alessio Di Chirico,0.0,0.0,54.0,36.0,0.0,0.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-28,Makhmud Muradov,0.0,18.0,0.0,0.0,0,300,1019,53,7,69
"Copenhagen, Denmark",Ismail Naurdiev,Siyar Bahadurzada,0.0,0.0,69.0,12.0,3.0,0.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-28,Ismail Naurdiev,0.0,57.0,3.0,0.0,0,300,644,2022,10,69
"Copenhagen, Denmark",Giga Chikadze,Brandon Davis,0.0,0.0,59.0,34.0,1.0,3.0,0.0,0.0,Featherweight,S-DEC,3.0,5:00,UFC Fight Night,2019-09-28,Giga Chikadze,0.0,25.0,-2.0,0.0,0,300,567,256,2,32
"Copenhagen, Denmark",Lina Lansberg,Macy Chiasson,0.0,0.0,21.0,26.0,2.0,0.0,0.0,0.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-28,Lina Lansberg,0.0,-5.0,2.0,0.0,0,300,975,1406,11,69
"Copenhagen, Denmark",Marc Diakiese,Lando Vannata,0.0,0.0,40.0,25.0,4.0,0.0,0.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-28,Marc Diakiese,0.0,15.0,4.0,0.0,0,300,1032,1330,6,69
"Copenhagen, Denmark",Jack Shore,Nohelin Hernandez,0.0,0.0,46.0,6.0,4.0,0.0,1.0,0.0,Bantamweight,SUB Rear Naked Choke,3.0,2:51,UFC Fight Night,2019-09-28,Jack Shore,0.0,40.0,4.0,1.0,0,171,658,1675,0,58
"Mexico City, Distrito Federal, Mexico",Yair Rodriguez,Jeremy Stephens,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Featherweight,CNC,1.0,0:15,UFC Fight Night,2019-09-21,Yair Rodriguez,0.0,2.0,0.0,0.0,0,15,1665,1010,2,0
"Mexico City, Distrito Federal, Mexico",Carla Esparza,Alexa Grasso,0.0,0.0,44.0,45.0,4.0,0.0,0.0,1.0,Women's Strawweight,M-DEC,3.0,5:00,UFC Fight Night,2019-09-21,Carla Esparza,0.0,-1.0,4.0,-1.0,0,300,227,74,14,19
"Mexico City, Distrito Federal, Mexico",Brandon Moreno,Askar Askarov,1.0,0.0,34.0,30.0,1.0,4.0,0.0,0.0,Flyweight,S-DEC,3.0,5:00,UFC Fight Night,2019-09-21,Brandon Moreno,1.0,4.0,-3.0,0.0,0,300,187,184,3,32
"Mexico City, Distrito Federal, Mexico",Irene Aldana,Vanessa Melo,0.0,0.0,125.0,68.0,0.0,0.0,0.0,0.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-21,Irene Aldana,0.0,57.0,0.0,0.0,0,300,637,2191,11,69
"Mexico City, Distrito Federal, Mexico",Steven Peterson,Martin Bravo,1.0,0.0,49.0,86.0,0.0,2.0,0.0,0.0,Featherweight,KO/TKO Spinning Back Fist,2.0,1:31,UFC Fight Night,2019-09-21,Steven Peterson,1.0,-37.0,-2.0,0.0,0,91,1514,1480,2,17
"Mexico City, Distrito Federal, Mexico",Jose Quinonez,Carlos Huachin,1.0,0.0,60.0,32.0,2.0,0.0,0.0,0.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-21,Jose Quinonez,1.0,28.0,2.0,0.0,0,300,826,334,0,69
"Mexico City, Distrito Federal, Mexico",Kyle Nelson,Marco Polo Reyes,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punch,1.0,1:36,UFC Fight Night,2019-09-21,Kyle Nelson,0.0,6.0,0.0,0.0,0,96,947,1442,2,13
"Mexico City, Distrito Federal, Mexico",Angela Hill,Ariane Carnelossi,0.0,0.0,92.0,72.0,0.0,0.0,0.0,0.0,Women's Strawweight,KO/TKO Elbow,3.0,1:56,UFC Fight Night,2019-09-21,Angela Hill,0.0,20.0,0.0,0.0,0,116,100,172,14,4
"Mexico City, Distrito Federal, Mexico",Sergio Pettis,Tyson Nam,0.0,0.0,96.0,40.0,0.0,0.0,0.0,0.0,Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-21,Sergio Pettis,0.0,56.0,0.0,0.0,0,300,1466,2178,3,69
"Mexico City, Distrito Federal, Mexico",Paul Craig,Vinicius Moreira,1.0,0.0,18.0,1.0,1.0,0.0,1.0,0.0,Light Heavyweight,SUB Rear Naked Choke,1.0,3:19,UFC Fight Night,2019-09-21,Paul Craig,1.0,17.0,1.0,1.0,0,199,1270,2209,5,58
"Mexico City, Distrito Federal, Mexico",Bethe Correia,Sijara Eubanks,0.0,0.0,59.0,77.0,0.0,1.0,0.0,0.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-21,Bethe Correia,0.0,-18.0,-1.0,0.0,0,300,163,2018,11,69
"Mexico City, Distrito Federal, Mexico",Claudio Puelles,Marcos Mariano,0.0,0.0,22.0,2.0,4.0,0.0,2.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-21,Claudio Puelles,0.0,20.0,4.0,2.0,0,300,300,1444,6,69
"Vancouver, British Columbia, Canada",Justin Gaethje,Donald Cerrone,1.0,0.0,40.0,17.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,4:18,UFC Fight Night,2019-09-14,Justin Gaethje,1.0,23.0,0.0,0.0,0,258,869,626,6,13
"Vancouver, British Columbia, Canada",Glover Teixeira,Nikita Krylov,0.0,0.0,43.0,47.0,1.0,2.0,2.0,1.0,Light Heavyweight,S-DEC,3.0,5:00,UFC Fight Night,2019-09-14,Glover Teixeira,0.0,-4.0,-1.0,1.0,0,300,577,1666,5,32
"Vancouver, British Columbia, Canada",Todd Duffee,Jeff Hughes,1.0,0.0,30.0,16.0,1.0,0.0,0.0,0.0,Heavyweight,CNC,1.0,4:03,UFC Fight Night,2019-09-14,Todd Duffee,1.0,14.0,1.0,0.0,0,243,1574,996,4,0
"Vancouver, British Columbia, Canada",Tristan Connelly,Michel Pereira,0.0,0.0,64.0,32.0,0.0,2.0,1.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-14,Tristan Connelly,0.0,32.0,-2.0,1.0,0,300,1604,1552,10,69
"Vancouver, British Columbia, Canada",Uriah Hall,Antonio Carlos Junior,1.0,0.0,34.0,22.0,0.0,3.0,0.0,0.0,Middleweight,S-DEC,3.0,5:00,UFC Fight Night,2019-09-14,Uriah Hall,1.0,12.0,-3.0,0.0,0,300,1615,163,7,32
"Vancouver, British Columbia, Canada",Misha Cirkunov,Jimmy Crute,0.0,0.0,6.0,21.0,1.0,0.0,1.0,0.0,Light Heavyweight,SUB Peruvian Necktie,1.0,3:38,UFC Fight Night,2019-09-14,Misha Cirkunov,0.0,-15.0,1.0,1.0,0,218,1172,1042,5,57
"Vancouver, British Columbia, Canada",Augusto Sakai,Marcin Tybura,1.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punches,1.0,0:59,UFC Fight Night,2019-09-14,Augusto Sakai,1.0,9.0,0.0,0.0,0,59,137,1437,4,14
"Vancouver, British Columbia, Canada",Miles Johns,Cole Smith,0.0,0.0,31.0,11.0,1.0,1.0,0.0,0.0,Bantamweight,S-DEC,3.0,5:00,UFC Fight Night,2019-09-14,Miles Johns,0.0,20.0,0.0,0.0,0,300,1167,445,0,32
"Vancouver, British Columbia, Canada",Hunter Azure,Brad Katona,0.0,0.0,41.0,21.0,0.0,3.0,0.0,0.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-14,Hunter Azure,0.0,20.0,-3.0,0.0,0,300,615,247,0,69
"Vancouver, British Columbia, Canada",Chas Skelly,Jordan Griffin,0.0,0.0,21.0,37.0,1.0,1.0,3.0,2.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-14,Chas Skelly,0.0,-16.0,0.0,1.0,0,300,258,1137,2,69
"Vancouver, British Columbia, Canada",Louis Smolka,Ryan MacDonald,1.0,0.0,59.0,30.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Punch,1.0,4:43,UFC Fight Night,2019-09-14,Louis Smolka,1.0,29.0,0.0,0.0,0,283,984,1918,0,13
"Vancouver, British Columbia, Canada",Austin Hubbard,Kyle Prepolec,0.0,0.0,51.0,44.0,3.0,0.0,0.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC Fight Night,2019-09-14,Austin Hubbard,0.0,7.0,3.0,0.0,0,300,140,1322,6,69
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Khabib Nurmagomedov,Dustin Poirier,0.0,0.0,22.0,12.0,7.0,0.0,2.0,1.0,Lightweight,SUB Rear Naked Choke,3.0,2:06,UFC 242,2019-09-07,Khabib Nurmagomedov,0.0,10.0,7.0,1.0,0,126,926,650,6,58
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Paul Felder,Edson Barboza,0.0,0.0,56.0,60.0,0.0,1.0,0.0,0.0,Lightweight,S-DEC,3.0,5:00,UFC 242,2019-09-07,Paul Felder,0.0,-4.0,-1.0,0.0,0,300,1272,669,6,32
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Islam Makhachev,Davi Ramos,1.0,0.0,43.0,7.0,0.0,0.0,0.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC 242,2019-09-07,Islam Makhachev,1.0,36.0,0.0,0.0,0,300,642,556,6,69
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Curtis Blaydes,Shamil Abdurakhimov,0.0,0.0,25.0,3.0,5.0,0.0,0.0,0.0,Heavyweight,KO/TKO Elbow,2.0,2:22,UFC 242,2019-09-07,Curtis Blaydes,0.0,22.0,5.0,0.0,0,142,335,1992,4,4
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Diego Ferreira,Mairbek Taisumov,0.0,0.0,109.0,51.0,0.0,0.0,0.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC 242,2019-09-07,Diego Ferreira,0.0,58.0,0.0,0.0,0,300,427,1413,6,69
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Joanne Wood,Andrea Lee,0.0,0.0,101.0,61.0,2.0,3.0,0.0,0.0,Women's Flyweight,S-DEC,3.0,5:00,UFC 242,2019-09-07,Joanne Wood,0.0,40.0,-1.0,0.0,0,300,758,122,13,32
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Zubaira Tukhugov,Lerone Murphy,1.0,0.0,22.0,28.0,6.0,0.0,0.0,2.0,Featherweight,S-DEC,3.0,5:00,UFC 242,2019-09-07,Zubaira Tukhugov,1.0,-6.0,6.0,-2.0,0,300,1698,1351,2,32
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Sarah Moras,Liana Jojua,0.0,0.0,44.0,19.0,0.0,2.0,1.0,0.0,Women's Bantamweight,KO/TKO Elbows,3.0,2:26,UFC 242,2019-09-07,Sarah Moras,0.0,25.0,-2.0,1.0,0,146,1440,1356,11,5
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Ottman Azaitar,Teemu Packalen,1.0,0.0,27.0,8.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,3:33,UFC 242,2019-09-07,Ottman Azaitar,1.0,19.0,0.0,0.0,0,213,1251,2091,6,13
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Belal Muhammad,Takashi Sato,0.0,0.0,49.0,29.0,2.0,1.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,3.0,1:55,UFC 242,2019-09-07,Belal Muhammad,0.0,20.0,1.0,1.0,0,115,151,2077,10,58
