Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner,KD_diff,STR_diff,TD_diff,SUB_diff,target,Time_seconds,Fighter 1_code,Fighter 2_code,Weight_Class_code,Method_code
"Las Vegas, Nevada, USA",Jose Johnson,Chad Anheliger,0.0,0.0,63.0,26.0,1.0,4.0,1.0,0.0,Bantamweight,SUB Rear Naked Choke,3.0,4:49,UFC Fight Night,2023-11-18,Jose Johnson,0.0,37.0,-3.0,1.0,0,289,825,349,0,58
"Las Vegas, Nevada, USA",Christian Leroy Duncan,Denis Tiuliulin,1.0,0.0,65.0,30.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punches,2.0,4:24,UFC Fight Night,2023-11-18,Christian Leroy Duncan,1.0,35.0,0.0,0.0,0,264,291,585,7,14
"Las Vegas, Nevada, USA",Mick Parkin,Caio Machado,0.0,0.0,39.0,76.0,3.0,0.0,0.0,0.0,Heavyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18,Mick Parkin,0.0,-37.0,3.0,0.0,0,300,1136,312,4,69
"Las Vegas, Nevada, USA",Jeka Saragih,Lucas Alexander,1.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,Featherweight,KO/TKO Punch,1.0,1:31,UFC Fight Night,2023-11-18,Jeka Saragih,1.0,-7.0,1.0,0.0,0,91,720,1377,2,13
"Las Vegas, Nevada, USA",Ailin Perez,Lucie Pudilova,0.0,0.0,42.0,20.0,2.0,0.0,0.0,1.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18,Ailin Perez,0.0,22.0,2.0,-1.0,0,300,18,1380,11,69
"Las Vegas, Nevada, USA",Trey Ogden,Nikolas Motta,0.0,0.0,58.0,14.0,3.0,0.0,1.0,0.0,Lightweight,Overturned,3.0,3:11,UFC Fight Night,2023-11-18,Trey Ogden,0.0,44.0,3.0,1.0,0,191,1602,1670,6,21
"Las Vegas, Nevada, USA",Rafael Estevam,Charles Johnson,0.0,0.0,18.0,72.0,3.0,0.0,1.0,0.0,Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18,Rafael Estevam,0.0,-54.0,3.0,1.0,0,300,1315,359,3,69
"New York City, New York, USA",Alex Pereira,Jiri Prochazka,1.0,0.0,38.0,30.0,0.0,1.0,1.0,0.0,Light Heavyweight,KO/TKO Elbows,2.0,4:08,UFC 295,2023-11-11,Alex Pereira,1.0,8.0,-1.0,1.0,0,248,51,1048,5,5
"New York City, New York, USA",Tom Aspinall,Sergei Pavlovich,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punch,1.0,1:09,UFC 295,2023-11-11,Tom Aspinall,1.0,9.0,0.0,0.0,0,69,1576,1981,4,13
"New York City, New York, USA",Jessica Andrade,Mackenzie Dern,4.0,0.0,53.0,49.0,0.0,0.0,0.0,0.0,Women's Strawweight,KO/TKO Punch,2.0,3:15,UFC 295,2023-11-11,Jessica Andrade,4.0,4.0,0.0,0.0,0,195,738,1405,14,13
"New York City, New York, USA",Benoit Saint Denis,Matt Frevola,1.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,Lightweight,KO/TKO Kick,1.0,1:31,UFC 295,2023-11-11,Benoit Saint Denis,1.0,1.0,-2.0,0.0,0,91,161,1501,6,9
"New York City, New York, USA",Diego Lopes,Pat Sabatini,1.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punches,1.0,1:30,UFC 295,2023-11-11,Diego Lopes,1.0,6.0,0.0,0.0,0,90,428,1705,2,14
"New York City, New York, USA",Steve Erceg,Alessandro Costa,0.0,0.0,74.0,54.0,1.0,1.0,1.0,0.0,Flyweight,U-DEC,3.0,5:00,UFC 295,2023-11-11,Steve Erceg,0.0,20.0,0.0,1.0,0,300,1509,52,3,69
"New York City, New York, USA",Loopy Godinez,Tabatha Ricci,0.0,0.0,98.0,84.0,0.0,0.0,0.0,0.0,Women's Strawweight,S-DEC,3.0,5:00,UFC 295,2023-11-11,Loopy Godinez,0.0,14.0,0.0,0.0,0,300,981,2069,14,32
"New York City, New York, USA",Mateusz Rebecki,Roosevelt Roberts,0.0,0.0,10.0,2.0,2.0,0.0,1.0,0.0,Lightweight,SUB Armbar,1.0,3:08,UFC 295,2023-11-11,Mateusz Rebecki,0.0,8.0,2.0,1.0,0,188,1085,1890,6,36
"New York City, New York, USA",Nazim Sadykhov,Viacheslav Borshchev,1.0,0.0,91.0,143.0,4.0,0.0,0.0,0.0,Lightweight,M-DEC,3.0,5:00,UFC 295,2023-11-11,Nazim Sadykhov,1.0,-52.0,4.0,0.0,0,300,1211,2196,6,19
"New York City, New York, USA",Jared Gordon,Mark Madsen,1.0,0.0,36.0,35.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,4:42,UFC 295,2023-11-11,Jared Gordon,1.0,1.0,0.0,0.0,0,282,695,1470,6,13
"New York City, New York, USA",John Castaneda,Kyung Ho Kang,0.0,0.0,111.0,88.0,3.0,0.0,0.0,0.0,Catch Weight,U-DEC,3.0,5:00,UFC 295,2023-11-11,John Castaneda,0.0,23.0,3.0,0.0,0,300,778,1327,1,69
"New York City, New York, USA",Joshua Van,Kevin Borjas,0.0,0.0,156.0,75.0,2.0,0.0,0.0,0.0,Flyweight,U-DEC,3.0,5:00,UFC 295,2023-11-11,Joshua Van,0.0,81.0,2.0,0.0,0,300,846,1279,3,69
"New York City, New York, USA",Jamall Emmers,Dennis Buzukja,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punch,1.0,0:49,UFC 295,2023-11-11,Jamall Emmers,1.0,11.0,0.0,0.0,0,49,677,588,2,13
"Sao Paulo, Sao Paulo, Brazil",Jailton Almeida,Derrick Lewis,0.0,0.0,38.0,20.0,6.0,0.0,4.0,0.0,Heavyweight,U-DEC,5.0,5:00,UFC Fight Night,2023-11-04,Jailton Almeida,0.0,18.0,6.0,4.0,0,300,664,597,4,69
"Sao Paulo, Sao Paulo, Brazil",Nicolas Dalby,Gabriel Bonfim,1.0,0.0,53.0,39.0,0.0,3.0,0.0,1.0,Welterweight,KO/TKO Knees,2.0,4:33,UFC Fight Night,2023-11-04,Nicolas Dalby,1.0,14.0,-3.0,-1.0,0,273,1227,761,10,12
"Sao Paulo, Sao Paulo, Brazil",Rodrigo Nascimento,Don'Tale Mayes,0.0,0.0,70.0,79.0,0.0,0.0,0.0,0.0,Heavyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-04,Rodrigo Nascimento,0.0,-9.0,0.0,0.0,0,300,1381,625,4,69
"Sao Paulo, Sao Paulo, Brazil",Caio Borralho,Abus Magomedov,1.0,0.0,51.0,38.0,0.0,0.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-04,Caio Borralho,1.0,13.0,0.0,0.0,0,300,220,14,7,69
"Sao Paulo, Sao Paulo, Brazil",Elves Brener,Kaynan Kruschewsky,1.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,Catch Weight,KO/TKO Punch,1.0,4:01,UFC Fight Night,2023-11-04,Elves Brener,1.0,8.0,0.0,0.0,0,241,485,1253,1,13
"Sao Paulo, Sao Paulo, Brazil",Rinat Fakhretdinov,Elizeu Zaleski dos Santos,1.0,0.0,87.0,75.0,1.0,0.0,0.0,1.0,Welterweight,M-DEC,3.0,5:00,UFC Fight Night,2023-11-04,Rinat Fakhretdinov,1.0,12.0,1.0,-1.0,0,300,1363,682,10,19
"Sao Paulo, Sao Paulo, Brazil",Vitor Petrino,Modestas Bukauskas,1.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punch,2.0,1:03,UFC Fight Night,2023-11-04,Vitor Petrino,1.0,-1.0,1.0,0.0,0,63,1642,1606,5,13
"Sao Paulo, Sao Paulo, Brazil",Angela Hill,Denise Gomes,0.0,0.0,76.0,62.0,5.0,1.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-04,Angela Hill,0.0,14.0,4.0,0.0,0,300,100,586,14,69
"Sao Paulo, Sao Paulo, Brazil",Eduarda Moura,Montserrat Conejo Ruiz,0.0,0.0,57.0,5.0,3.0,0.0,0.0,0.0,Women's Strawweight,KO/TKO Punches,2.0,2:14,UFC Fight Night,2023-11-04,Eduarda Moura,0.0,52.0,3.0,0.0,0,134,475,1611,14,14
"Sao Paulo, Sao Paulo, Brazil",Marc Diakiese,Kaue Fernandes,0.0,0.0,13.0,23.0,3.0,1.0,0.0,0.0,Lightweight,S-DEC,3.0,5:00,UFC Fight Night,2023-11-04,Marc Diakiese,0.0,-10.0,2.0,0.0,0,300,1032,1251,6,32
