Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner,Fighter 1_code,Fighter 2_code,Weight_Class_code,Method_code,Winner_code
"Austin, Texas, USA",Arman Tsarukyan,Beneil Dariush,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,1:04,UFC Fight Night,2023-12-02 00:00:00.000,Arman Tsarukyan,126,214,6,13,125
"Austin, Texas, USA",Jalin Turner,Bobby Green,1.0,0.0,33.0,15.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,1.0,2:49,UFC Fight Night,2023-12-02 00:00:00.000,Jalin Turner,675,234,6,14,674
"Austin, Texas, USA",Deiveson Figueiredo,Rob Font,0.0,0.0,45.0,46.0,4.0,0.0,0.0,0.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-12-02 00:00:00.000,Deiveson Figueiredo,408,1837,0,69,407
"Austin, Texas, USA",Sean Brady,Kelvin Gastelum,0.0,0.0,14.0,18.0,5.0,0.0,3.0,0.0,Welterweight,SUB Kimura,3.0,1:43,UFC Fight Night,2023-12-02 00:00:00.000,Sean Brady,1451,1267,10,48,1446
"Austin, Texas, USA",Joaquim Silva,Clay Guida,0.0,0.0,46.0,43.0,2.0,2.0,2.0,0.0,Lightweight,U-DEC,3.0,5:00,UFC Fight Night,2023-12-02 00:00:00.000,Joaquim Silva,760,429,6,69,759
"Austin, Texas, USA",Dustin Stoltzfus,Punahele Soriano,1.0,0.0,64.0,31.0,4.0,0.0,1.0,0.0,Middleweight,SUB Rear Naked Choke,2.0,4:10,UFC Fight Night,2023-12-02 00:00:00.000,Dustin Stoltzfus,460,1759,7,58,459
"Austin, Texas, USA",Miesha Tate,Julia Avila,0.0,0.0,32.0,3.0,4.0,0.0,1.0,0.0,Women's Bantamweight,SUB Rear Naked Choke,3.0,1:15,UFC Fight Night,2023-12-02 00:00:00.000,Miesha Tate,1140,1192,11,58,1138
"Austin, Texas, USA",Cody Brundage,Zach Reese,0.0,0.0,9.0,4.0,1.0,0.0,0.0,1.0,Middleweight,KO/TKO Slam,1.0,1:49,UFC Fight Night,2023-12-02 00:00:00.000,Cody Brundage,309,2288,7,15,308
"Austin, Texas, USA",Drakkar Klose,Joe Solecki,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,Lightweight,KO/TKO Slam,1.0,1:41,UFC Fight Night,2023-12-02 00:00:00.000,Drakkar Klose,447,1075,6,15,446
"Austin, Texas, USA",Rodolfo Bellato,Ihor Potieria,0.0,1.0,80.0,73.0,1.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punches,2.0,4:17,UFC Fight Night,2023-12-02 00:00:00.000,Rodolfo Bellato,1379,878,5,14,1375
"Austin, Texas, USA",Jared Gooden,Wellington Turman,0.0,0.0,53.0,37.0,1.0,1.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,2.0,1:11,UFC Fight Night,2023-12-02 00:00:00.000,Jared Gooden,695,2233,10,58,694
"Austin, Texas, USA",Veronica Hardy,Jamey-Lyn Horth,0.0,0.0,43.0,43.0,1.0,1.0,0.0,0.0,Women's Flyweight,S-DEC,3.0,5:00,UFC Fight Night,2023-12-02 00:00:00.000,Veronica Hardy,1628,947,13,32,1623
"Las Vegas, Nevada, USA",Brendan Allen,Paul Craig,0.0,0.0,32.0,6.0,2.0,0.0,2.0,1.0,Middleweight,SUB Rear Naked Choke,3.0,0:38,UFC Fight Night,2023-11-18 00:00:00.000,Brendan Allen,191,1714,7,58,190
"Las Vegas, Nevada, USA",Michael Morales,Jake Matthews,0.0,0.0,84.0,57.0,0.0,0.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18 00:00:00.000,Michael Morales,1129,923,10,69,1127
"Las Vegas, Nevada, USA",Chase Hooper,Jordan Leavitt,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,Lightweight,SUB Rear Naked Choke,1.0,2:58,UFC Fight Night,2023-11-18 00:00:00.000,Chase Hooper,259,1138,6,58,258
"Las Vegas, Nevada, USA",Payton Talbott,Nick Aguirre,0.0,0.0,28.0,5.0,0.0,2.0,1.0,0.0,Bantamweight,SUB Rear Naked Choke,3.0,0:58,UFC Fight Night,2023-11-18 00:00:00.000,Payton Talbott,1282,1648,0,58,1278
"Las Vegas, Nevada, USA",Amanda Ribas,Luana Pinheiro,1.0,0.0,87.0,55.0,0.0,1.0,0.0,0.0,Women's Strawweight,KO/TKO Punches,3.0,3:53,UFC Fight Night,2023-11-18 00:00:00.000,Amanda Ribas,77,1376,14,14,77
"Las Vegas, Nevada, USA",Myktybek Orolbai,Uros Medic,0.0,0.0,8.0,14.0,7.0,0.0,1.0,0.0,Welterweight,SUB Neck Crank,2.0,4:12,UFC Fight Night,2023-11-18 00:00:00.000,Myktybek Orolbai,1192,2183,10,50,1190
"Las Vegas, Nevada, USA",Joanderson Brito,Jonathan Pearce,0.0,0.0,8.0,14.0,1.0,1.0,1.0,0.0,Featherweight,SUB Guillotine Choke,2.0,3:54,UFC Fight Night,2023-11-18 00:00:00.000,Joanderson Brito,757,1133,2,43,756
"Las Vegas, Nevada, USA",Jose Johnson,Chad Anheliger,0.0,0.0,63.0,26.0,1.0,4.0,1.0,0.0,Bantamweight,SUB Rear Naked Choke,3.0,4:49,UFC Fight Night,2023-11-18 00:00:00.000,Jose Johnson,826,349,0,58,825
"Las Vegas, Nevada, USA",Christian Leroy Duncan,Denis Tiuliulin,1.0,0.0,65.0,30.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punches,2.0,4:24,UFC Fight Night,2023-11-18 00:00:00.000,Christian Leroy Duncan,291,585,7,14,290
"Las Vegas, Nevada, USA",Mick Parkin,Caio Machado,0.0,0.0,39.0,76.0,3.0,0.0,0.0,0.0,Heavyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18 00:00:00.000,Mick Parkin,1137,312,4,69,1135
"Las Vegas, Nevada, USA",Jeka Saragih,Lucas Alexander,1.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,Featherweight,KO/TKO Punch,1.0,1:31,UFC Fight Night,2023-11-18 00:00:00.000,Jeka Saragih,721,1377,2,13,720
"Las Vegas, Nevada, USA",Ailin Perez,Lucie Pudilova,0.0,0.0,42.0,20.0,2.0,0.0,0.0,1.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18 00:00:00.000,Ailin Perez,18,1380,11,69,18
"Las Vegas, Nevada, USA",Trey Ogden,Nikolas Motta,0.0,0.0,58.0,14.0,3.0,0.0,1.0,0.0,Lightweight,Overturned,3.0,3:11,UFC Fight Night,2023-11-18 00:00:00.000,Trey Ogden,1604,1670,6,21,1599
"Las Vegas, Nevada, USA",Rafael Estevam,Charles Johnson,0.0,0.0,18.0,72.0,3.0,0.0,1.0,0.0,Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-18 00:00:00.000,Rafael Estevam,1316,359,3,69,1312
"New York City, New York, USA",Alex Pereira,Jiri Prochazka,1.0,0.0,38.0,30.0,0.0,1.0,1.0,0.0,Light Heavyweight,KO/TKO Elbows,2.0,4:08,UFC 295,2023-11-11 00:00:00.000,Alex Pereira,51,1048,5,5,51
"New York City, New York, USA",Tom Aspinall,Sergei Pavlovich,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,Heavyweight,KO/TKO Punch,1.0,1:09,UFC 295,2023-11-11 00:00:00.000,Tom Aspinall,1578,1981,4,13,1573
"New York City, New York, USA",Jessica Andrade,Mackenzie Dern,4.0,0.0,53.0,49.0,0.0,0.0,0.0,0.0,Women's Strawweight,KO/TKO Punch,2.0,3:15,UFC 295,2023-11-11 00:00:00.000,Jessica Andrade,739,1405,14,13,738
"New York City, New York, USA",Benoit Saint Denis,Matt Frevola,1.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,Lightweight,KO/TKO Kick,1.0,1:31,UFC 295,2023-11-11 00:00:00.000,Benoit Saint Denis,161,1501,6,9,160
"New York City, New York, USA",Diego Lopes,Pat Sabatini,1.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punches,1.0,1:30,UFC 295,2023-11-11 00:00:00.000,Diego Lopes,428,1705,2,14,427
"New York City, New York, USA",Steve Erceg,Alessandro Costa,0.0,0.0,74.0,54.0,1.0,1.0,1.0,0.0,Flyweight,U-DEC,3.0,5:00,UFC 295,2023-11-11 00:00:00.000,Steve Erceg,1511,52,3,69,1506
"New York City, New York, USA",Loopy Godinez,Tabatha Ricci,0.0,0.0,98.0,84.0,0.0,0.0,0.0,0.0,Women's Strawweight,S-DEC,3.0,5:00,UFC 295,2023-11-11 00:00:00.000,Loopy Godinez,982,2069,14,32,980
"New York City, New York, USA",Mateusz Rebecki,Roosevelt Roberts,0.0,0.0,10.0,2.0,2.0,0.0,1.0,0.0,Lightweight,SUB Armbar,1.0,3:08,UFC 295,2023-11-11 00:00:00.000,Mateusz Rebecki,1086,1890,6,36,1084
"New York City, New York, USA",Nazim Sadykhov,Viacheslav Borshchev,1.0,0.0,91.0,143.0,4.0,0.0,0.0,0.0,Lightweight,M-DEC,3.0,5:00,UFC 295,2023-11-11 00:00:00.000,Nazim Sadykhov,1212,2196,6,19,1210
"New York City, New York, USA",Jared Gordon,Mark Madsen,1.0,0.0,36.0,35.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,4:42,UFC 295,2023-11-11 00:00:00.000,Jared Gordon,696,1470,6,13,695
"New York City, New York, USA",John Castaneda,Kyung Ho Kang,0.0,0.0,111.0,88.0,3.0,0.0,0.0,0.0,Catch Weight,U-DEC,3.0,5:00,UFC 295,2023-11-11 00:00:00.000,John Castaneda,779,1327,1,69,778
"New York City, New York, USA",Joshua Van,Kevin Borjas,0.0,0.0,156.0,75.0,2.0,0.0,0.0,0.0,Flyweight,U-DEC,3.0,5:00,UFC 295,2023-11-11 00:00:00.000,Joshua Van,847,1279,3,69,846
"New York City, New York, USA",Jamall Emmers,Dennis Buzukja,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,Featherweight,KO/TKO Punch,1.0,0:49,UFC 295,2023-11-11 00:00:00.000,Jamall Emmers,678,588,2,13,677
"Sao Paulo, Sao Paulo, Brazil",Jailton Almeida,Derrick Lewis,0.0,0.0,38.0,20.0,6.0,0.0,4.0,0.0,Heavyweight,U-DEC,5.0,5:00,UFC Fight Night,2023-11-04 00:00:00.000,Jailton Almeida,665,597,4,69,664
"Sao Paulo, Sao Paulo, Brazil",Nicolas Dalby,Gabriel Bonfim,1.0,0.0,53.0,39.0,0.0,3.0,0.0,1.0,Welterweight,KO/TKO Knees,2.0,4:33,UFC Fight Night,2023-11-04 00:00:00.000,Nicolas Dalby,1228,761,10,12,1225
"Sao Paulo, Sao Paulo, Brazil",Rodrigo Nascimento,Don'Tale Mayes,0.0,0.0,70.0,79.0,0.0,0.0,0.0,0.0,Heavyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-04 00:00:00.000,Rodrigo Nascimento,1382,625,4,69,1378
"Sao Paulo, Sao Paulo, Brazil",Caio Borralho,Abus Magomedov,1.0,0.0,51.0,38.0,0.0,0.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-04 00:00:00.000,Caio Borralho,220,14,7,69,219
"Sao Paulo, Sao Paulo, Brazil",Elves Brener,Kaynan Kruschewsky,1.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,Catch Weight,KO/TKO Punch,1.0,4:01,UFC Fight Night,2023-11-04 00:00:00.000,Elves Brener,485,1253,1,13,484
"Sao Paulo, Sao Paulo, Brazil",Rinat Fakhretdinov,Elizeu Zaleski dos Santos,1.0,0.0,87.0,75.0,1.0,0.0,0.0,1.0,Welterweight,M-DEC,3.0,5:00,UFC Fight Night,2023-11-04 00:00:00.000,Rinat Fakhretdinov,1364,682,10,19,1360
"Sao Paulo, Sao Paulo, Brazil",Vitor Petrino,Modestas Bukauskas,1.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,Light Heavyweight,KO/TKO Punch,2.0,1:03,UFC Fight Night,2023-11-04 00:00:00.000,Vitor Petrino,1644,1606,5,13,1639
"Sao Paulo, Sao Paulo, Brazil",Angela Hill,Denise Gomes,0.0,0.0,76.0,62.0,5.0,1.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-11-04 00:00:00.000,Angela Hill,100,586,14,69,100
"Sao Paulo, Sao Paulo, Brazil",Eduarda Moura,Montserrat Conejo Ruiz,0.0,0.0,57.0,5.0,3.0,0.0,0.0,0.0,Women's Strawweight,KO/TKO Punches,2.0,2:14,UFC Fight Night,2023-11-04 00:00:00.000,Eduarda Moura,475,1611,14,14,474
"Sao Paulo, Sao Paulo, Brazil",Marc Diakiese,Kaue Fernandes,0.0,0.0,13.0,23.0,3.0,1.0,0.0,0.0,Lightweight,S-DEC,3.0,5:00,UFC Fight Night,2023-11-04 00:00:00.000,Marc Diakiese,1033,1251,6,32,1031
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Islam Makhachev,Alexander Volkanovski,1.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Kick,1.0,3:06,UFC 294,2023-10-21 00:00:00.000,Islam Makhachev,643,78,6,9,642
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Khamzat Chimaev,Kamaru Usman,0.0,0.0,38.0,36.0,4.0,0.0,1.0,0.0,Middleweight,M-DEC,3.0,5:00,UFC 294,2023-10-21 00:00:00.000,Khamzat Chimaev,932,1239,7,19,930
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Magomed Ankalaev,Johnny Walker,0.0,0.0,13.0,14.0,1.0,0.0,0.0,0.0,Light Heavyweight,CNC,1.0,3:13,UFC 294,2023-10-21 00:00:00.000,Magomed Ankalaev,1015,1120,5,0,1013
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Ikram Aliskerov,Warlley Alves,1.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punches,1.0,2:07,UFC 294,2023-10-21 00:00:00.000,Ikram Aliskerov,631,2231,7,14,630
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Said Nurmagomedov,Muin Gafurov,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,Bantamweight,SUB Guillotine Choke,1.0,1:13,UFC 294,2023-10-21 00:00:00.000,Said Nurmagomedov,1428,1616,0,43,1424
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Muhammad Mokaev,Tim Elliott,0.0,0.0,14.0,30.0,3.0,1.0,1.0,2.0,Flyweight,SUB Arm Triangle,3.0,3:03,UFC 294,2023-10-21 00:00:00.000,Muhammad Mokaev,1188,2116,3,35,1186
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Trevor Peek,Mohammad Yahya,0.0,0.0,61.0,43.0,4.0,1.0,0.0,1.0,Lightweight,U-DEC,3.0,5:00,UFC 294,2023-10-21 00:00:00.000,Trevor Peek,1601,1607,6,69,1596
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Javid Basharat,Victor Henry,0.0,0.0,30.0,25.0,1.0,0.0,0.0,0.0,Bantamweight,CNC,2.0,0:15,UFC 294,2023-10-21 00:00:00.000,Javid Basharat,716,2199,0,0,715
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Sedriques Dumas,Abu Azaitar,0.0,0.0,34.0,41.0,1.0,2.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC 294,2023-10-21 00:00:00.000,Sedriques Dumas,1460,12,7,69,1455
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Mike Breeden,Anshul Jubli,1.0,0.0,92.0,103.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,3.0,3:00,UFC 294,2023-10-21 00:00:00.000,Mike Breeden,1143,140,6,13,1141
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Muhammad Naimov,Nathaniel Wood,0.0,0.0,48.0,50.0,4.0,2.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC 294,2023-10-21 00:00:00.000,Muhammad Naimov,1189,1639,2,69,1187
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Viktoriia Dudakova,Jinh Yu Frey,1.0,0.0,74.0,47.0,0.0,1.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC 294,2023-10-21 00:00:00.000,Viktoriia Dudakova,1636,1047,14,69,1631
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Shara Magomedov,Bruno Silva,0.0,0.0,113.0,65.0,0.0,3.0,0.0,0.0,Middleweight,U-DEC,3.0,5:00,UFC 294,2023-10-21 00:00:00.000,Shara Magomedov,1483,296,7,69,1478
"Las Vegas, Nevada, USA",Edson Barboza,Sodiq Yusuff,1.0,1.0,164.0,178.0,3.0,1.0,0.0,0.0,Featherweight,U-DEC,5.0,5:00,UFC Fight Night,2023-10-14 00:00:00.000,Edson Barboza,474,2024,2,69,473
"Las Vegas, Nevada, USA",Viviane Araujo,Jennifer Maia,0.0,0.0,24.0,41.0,2.0,2.0,1.0,0.0,Women's Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14 00:00:00.000,Viviane Araujo,1645,1002,13,69,1640
"Las Vegas, Nevada, USA",Jonathan Martinez,Adrian Yanez,2.0,0.0,36.0,20.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Kicks,2.0,2:26,UFC Fight Night,2023-10-14 00:00:00.000,Jonathan Martinez,808,21,0,10,807
"Las Vegas, Nevada, USA",Michel Pereira,Andre Petroski,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punch,1.0,1:06,UFC Fight Night,2023-10-14 00:00:00.000,Michel Pereira,1132,118,7,13,1130
"Las Vegas, Nevada, USA",Christian Rodriguez,Cameron Saaiman,0.0,0.0,83.0,73.0,3.0,0.0,2.0,1.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14 00:00:00.000,Christian Rodriguez,293,320,0,69,292
"Las Vegas, Nevada, USA",Darren Elkins,TJ Brown,0.0,0.0,11.0,15.0,5.0,2.0,2.0,0.0,Featherweight,SUB Rear Naked Choke,3.0,2:23,UFC Fight Night,2023-10-14 00:00:00.000,Darren Elkins,383,2063,2,58,382
"Las Vegas, Nevada, USA",Tainara Lisboa,Ravena Oliveira,0.0,0.0,18.0,15.0,3.0,2.0,0.0,0.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14 00:00:00.000,Tainara Lisboa,1533,1791,11,69,1528
"Las Vegas, Nevada, USA",Terrance McKinney,Brendon Marotte,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Knee,1.0,0:20,UFC Fight Night,2023-10-14 00:00:00.000,Terrance McKinney,1550,269,6,11,1545
"Las Vegas, Nevada, USA",Melissa Dixon,Irina Alekseeva,0.0,1.0,52.0,48.0,0.0,1.0,0.0,0.0,Women's Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14 00:00:00.000,Melissa Dixon,1116,886,11,69,1114
"Las Vegas, Nevada, USA",Chris Gutierrez,Alatengheili,0.0,0.0,110.0,38.0,0.0,2.0,0.0,0.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14 00:00:00.000,Chris Gutierrez,280,36,0,69,279
"Las Vegas, Nevada, USA",Emily Ducote,Ashley Yoder,0.0,0.0,117.0,102.0,1.0,0.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-14 00:00:00.000,Emily Ducote,488,183,14,69,487
"Las Vegas, Nevada, USA",Bobby Green,Grant Dawson,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punch,1.0,0:33,UFC Fight Night,2023-10-07 00:00:00.000,Bobby Green,173,812,6,13,172
"Las Vegas, Nevada, USA",Joe Pyfer,Abdul Razak Alhassan,0.0,0.0,26.0,11.0,3.0,0.0,2.0,1.0,Middleweight,SUB Arm Triangle,2.0,2:05,UFC Fight Night,2023-10-07 00:00:00.000,Joe Pyfer,769,9,7,35,768
"Las Vegas, Nevada, USA",Joaquin Buckley,Alex Morono,0.0,0.0,68.0,40.0,2.0,1.0,0.0,0.0,Welterweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07 00:00:00.000,Joaquin Buckley,761,62,10,69,760
"Las Vegas, Nevada, USA",Drew Dober,Ricky Glenn,1.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,Lightweight,KO/TKO Punches,1.0,2:36,UFC Fight Night,2023-10-07 00:00:00.000,Drew Dober,448,1828,6,14,447
"Las Vegas, Nevada, USA",Bill Algeo,Alexander Hernandez,1.0,0.0,110.0,75.0,1.0,0.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07 00:00:00.000,Bill Algeo,166,76,2,69,165
"Las Vegas, Nevada, USA",Karolina Kowalkiewicz,Diana Belbita,0.0,0.0,141.0,99.0,1.0,2.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07 00:00:00.000,Karolina Kowalkiewicz,897,604,14,69,895
"Las Vegas, Nevada, USA",Nate Maness,Mateus Mendonca,0.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,Flyweight,KO/TKO Punches,1.0,4:40,UFC Fight Night,2023-10-07 00:00:00.000,Nate Maness,1206,1492,3,14,1204
"Las Vegas, Nevada, USA",Vanessa Demopoulos,Kanako Murata,0.0,0.0,31.0,34.0,0.0,5.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07 00:00:00.000,Vanessa Demopoulos,1624,1241,14,69,1619
"Las Vegas, Nevada, USA",Aoriqileng,Johnny Munoz,1.0,0.0,44.0,7.0,2.0,4.0,0.0,3.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07 00:00:00.000,Aoriqileng,122,1117,0,69,121
"Las Vegas, Nevada, USA",JJ Aldrich,Montana De La Rosa,0.0,0.0,65.0,67.0,0.0,0.0,0.0,0.0,Women's Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07 00:00:00.000,JJ Aldrich,652,1609,13,69,651
"Las Vegas, Nevada, USA",Mateusz Gamrot,Rafael Fiziev,0.0,0.0,16.0,18.0,1.0,0.0,0.0,0.0,Lightweight,KO/TKO,2.0,2:03,UFC Fight Night,2023-09-23 00:00:00.000,Mateusz Gamrot,1085,1767,6,3,1083
"Las Vegas, Nevada, USA",Bryce Mitchell,Dan Ige,0.0,0.0,23.0,18.0,5.0,0.0,1.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2023-09-23 00:00:00.000,Bryce Mitchell,214,501,2,69,213
"Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez,0.0,0.0,70.0,13.0,1.0,1.0,0.0,0.0,Women's Strawweight,KO/TKO Punches,2.0,2:42,UFC Fight Night,2023-09-23 00:00:00.000,Marina Rodriguez,1054,1555,14,14,1052
"Las Vegas, Nevada, USA",Bryan Battle,AJ Fletcher,0.0,0.0,45.0,25.0,1.0,0.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,2.0,4:32,UFC Fight Night,2023-09-23 00:00:00.000,Bryan Battle,212,1,10,58,211
"Las Vegas, Nevada, USA",Charles Jourdain,Ricardo Ramos,0.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,Featherweight,SUB Guillotine Choke,1.0,3:12,UFC Fight Night,2023-09-23 00:00:00.000,Charles Jourdain,251,1814,2,43,250
"Las Vegas, Nevada, USA",Miles Johns,Dan Argueta,0.0,0.0,43.0,33.0,2.0,2.0,0.0,2.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-09-23 00:00:00.000,Miles Johns,1168,492,0,69,1166
"Las Vegas, Nevada, USA",Tim Means,Andre Fialho,2.0,0.0,104.0,51.0,0.0,1.0,0.0,0.0,Welterweight,KO/TKO Punches,3.0,1:15,UFC Fight Night,2023-09-23 00:00:00.000,Tim Means,1571,113,10,14,1566
"Las Vegas, Nevada, USA",Cody Brundage,Jacob Malkoun,0.0,0.0,2.0,28.0,1.0,1.0,0.0,0.0,Middleweight,DQ,1.0,4:15,UFC Fight Night,2023-09-23 00:00:00.000,Cody Brundage,309,913,7,1,308
"Las Vegas, Nevada, USA",Mohammed Usman,Jake Collier,0.0,0.0,85.0,87.0,1.0,0.0,0.0,2.0,Heavyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-09-23 00:00:00.000,Mohammed Usman,1179,918,4,69,1177
"Las Vegas, Nevada, USA",Mizuki,Hannah Goldy,0.0,0.0,55.0,47.0,1.0,1.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-09-23 00:00:00.000,Mizuki,1176,833,14,69,1174
"Las Vegas, Nevada, USA",Montserrat Rendon,Tamires Vidal,0.0,0.0,69.0,60.0,3.0,0.0,0.0,1.0,Women's Bantamweight,S-DEC,3.0,5:00,UFC Fight Night,2023-09-23 00:00:00.000,Montserrat Rendon,1184,2082,11,32,1182
"Las Vegas, Nevada, USA",Alexa Grasso,Valentina Shevchenko,1.0,0.0,84.0,80.0,1.0,4.0,1.0,1.0,Women's Flyweight,S-DEC,5.0,5:00,UFC Fight Night,2023-09-16 00:00:00.000,Alexa Grasso,54,2186,13,32,54
"Las Vegas, Nevada, USA",Jack Della Maddalena,Kevin Holland,0.0,0.0,105.0,127.0,0.0,0.0,0.0,0.0,Welterweight,S-DEC,3.0,5:00,UFC Fight Night,2023-09-16 00:00:00.000,Jack Della Maddalena,654,1284,10,32,653
"Las Vegas, Nevada, USA",Raul Rosas Jr.,Terrence Mitchell,1.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,Bantamweight,KO/TKO Punches,1.0,0:54,UFC Fight Night,2023-09-16 00:00:00.000,Raul Rosas Jr.,1336,2094,0,14,1332
"Las Vegas, Nevada, USA",Daniel Zellhuber,Christos Giagos,0.0,0.0,36.0,38.0,0.0,0.0,1.0,0.0,Lightweight,SUB Anaconda Choke,2.0,3:26,UFC Fight Night,2023-09-16 00:00:00.000,Daniel Zellhuber,372,418,6,33,371
"Las Vegas, Nevada, USA",Kyle Nelson,Fernando Padilla,0.0,0.0,82.0,72.0,0.0,0.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2023-09-16 00:00:00.000,Kyle Nelson,948,731,2,69,946
"Las Vegas, Nevada, USA",Loopy Godinez,Elise Reed,1.0,0.0,21.0,3.0,5.0,0.0,6.0,0.0,Women's Strawweight,SUB Rear Naked Choke,2.0,3:38,UFC Fight Night,2023-09-16 00:00:00.000,Loopy Godinez,982,680,14,58,980
"Las Vegas, Nevada, USA",Roman Kopylov,Josh Fremd,1.0,0.0,49.0,38.0,0.0,0.0,0.0,0.0,Middleweight,KO/TKO Punch,2.0,4:44,UFC Fight Night,2023-09-16 00:00:00.000,Roman Kopylov,1392,1169,7,13,1388
"Las Vegas, Nevada, USA",Edgar Chairez,Daniel Lacerda,0.0,0.0,12.0,4.0,0.0,1.0,1.0,0.0,Flyweight,Overturned,1.0,3:47,UFC Fight Night,2023-09-16 00:00:00.000,Edgar Chairez,471,511,3,21,470
