Fighter,Date,Opp,Weight_Class,Total_KD,Total_STR,Total_TD,Total_SUB,Opp_KD,Opp_STR,Opp_TD,Opp_SUB,Round,Time,Target,Avg_Round_Time,Avg_Round,Opp_Avg_Round_Time,Opp_Avg_Round,Fighter_code,Opp_code,Weight_Class_code
Taila Santos,2020-12-19,Gillian Robertson,Women's Flyweight,0,93,6,3,0,154,14,4,3.0,300.0,1,450.0,4.5,349.46153846153845,2.923076923076923,2188,833,13
Taila Santos,2021-09-25,Roxanne Modafferi,Women's Flyweight,0,120,7,4,1,484,14,1,3.0,300.0,1,400.0,4.0,471.2,5.1,2188,1992,13
Taila Santos,2021-11-20,Joanne Wood,Women's Flyweight,1,175,12,4,3,1001,16,4,1.0,289.0,1,375.0,3.75,403.2142857142857,3.2142857142857144,2188,1094,13
Taila Santos,2022-06-11,Valentina Shevchenko,Women's Flyweight,3,205,12,6,1,698,38,5,5.0,300.0,0,357.8,3.2,327.3333333333333,4.8,2188,2290,13
Taila Santos,2023-08-26,Erin Blanchfield,Women's Flyweight,3,260,15,9,0,290,12,5,3.0,300.0,0,398.1666666666667,4.333333333333333,214.4,2.2,2188,729,13
Tainara Lisboa,2023-05-13,Jessica-Rose Clark,Women's Bantamweight,0,0,0,0,0,377,11,2,3.0,260.0,1,0.0,0.0,361.625,3.5,2189,1072,11
Tainara Lisboa,2023-10-14,Ravena Oliveira,Women's Bantamweight,0,42,1,1,0,0,0,0,3.0,300.0,1,260.0,3.0,0.0,0.0,2189,1879,11
Takanori Gomi,2010-03-31,Kenny Florian,Lightweight,0,0,0,0,1,307,20,11,3.0,172.0,0,0.0,0.0,305.5625,3.5625,2190,1325,6
Takanori Gomi,2010-08-01,Tyson Griffin,Lightweight,0,20,0,0,1,505,12,9,1.0,64.0,1,344.0,6.0,378.8333333333333,3.6666666666666665,2190,2280,6
Takanori Gomi,2011-01-01,Clay Guida,Lightweight,1,25,0,0,3,364,38,7,2.0,267.0,0,204.0,3.5,341.375,3.90625,2190,448,6
Takanori Gomi,2011-09-24,Nate Diaz,Lightweight,1,39,0,0,2,397,14,15,1.0,267.0,0,314.0,3.6666666666666665,380.96,4.2,2190,1709,6
Takanori Gomi,2012-02-25,Eiji Mitsuoka,Lightweight,1,43,0,0,0,0,0,0,2.0,141.0,1,369.0,3.25,450.0,2.0,2190,699,6
Takanori Gomi,2012-11-10,Mac Danzig,Lightweight,1,91,0,0,3,353,10,5,3.0,300.0,1,323.4,3.0,392.54545454545456,4.0,2190,1460,6
Takanori Gomi,2013-03-02,Diego Sanchez,Lightweight,2,145,1,0,5,588,22,13,3.0,300.0,0,319.5,3.0,361.03225806451616,3.7419354838709675,2190,631,6
Takanori Gomi,2014-04-26,Isaac Vallie-Flagg,Lightweight,2,226,1,0,0,97,0,0,3.0,300.0,1,359.57142857142856,3.4285714285714284,600.0,6.0,2190,922,6
Takanori Gomi,2014-09-20,Myles Jury,Lightweight,2,356,1,0,1,141,12,2,1.0,92.0,0,352.125,3.375,329.90909090909093,2.909090909090909,2190,1697,6
Takanori Gomi,2015-07-25,Joe Lauzon,Lightweight,2,357,1,0,2,332,23,26,1.0,157.0,0,333.44444444444446,3.2222222222222223,294.5,3.076923076923077,2190,1110,6
Takanori Gomi,2016-07-09,Jim Miller,Lightweight,2,364,1,0,3,591,26,35,1.0,138.0,0,331.5,3.1,311.9736842105263,3.236842105263158,2190,1079,6
Takanori Gomi,2017-06-17,Jon Tuck,Lightweight,2,365,1,0,2,284,3,5,1.0,72.0,0,326.45454545454544,3.0,486.14285714285717,4.857142857142857,2190,1170,6
Takanori Gomi,2017-09-22,Dong Hyun Ma,Lightweight,2,365,1,0,0,123,6,0,1.0,90.0,0,311.25,2.9166666666666665,363.42857142857144,4.285714285714286,2190,649,6
Takashi Sato,2019-04-27,Ben Saunders,Welterweight,0,0,0,0,3,428,2,9,2.0,78.0,1,0.0,0.0,301.44444444444446,3.0,2191,221,10
Takashi Sato,2019-09-07,Belal Muhammad,Welterweight,1,28,0,0,0,530,17,1,3.0,115.0,0,78.0,2.0,320.14285714285717,3.5714285714285716,2191,215,10
Takashi Sato,2020-06-27,Jason Witt,Welterweight,1,57,1,0,0,0,0,0,1.0,48.0,1,154.0,4.0,197.8,2.6,2191,1025,10
Takashi Sato,2020-11-28,Miguel Baeza,Welterweight,2,75,1,0,3,72,1,0,2.0,268.0,0,118.66666666666667,3.0,290.4,3.6,2191,1632,10
Takashi Sato,2022-03-19,Gunnar Nelson,Welterweight,2,90,1,0,1,223,15,8,3.0,300.0,0,223.0,3.25,332.0769230769231,3.3076923076923075,2191,853,10
Takashi Sato,2022-08-06,Bryan Battle,Welterweight,2,99,1,0,0,158,2,1,1.0,44.0,0,298.4,3.8,255.25,2.75,2191,312,10
Takashi Sato,2023-05-20,Themba Gorimbo,Welterweight,2,101,1,0,0,6,2,0,3.0,300.0,0,263.3333333333333,3.5,194.0,4.0,2191,2199,10
Takenori Sato,2014-02-15,Erick Silva,Welterweight,0,0,0,0,1,69,2,5,1.0,52.0,0,0.0,0.0,279.0,3.230769230769231,2192,724,10
Takenori Sato,2014-09-20,Hyun Gyu Lim,Welterweight,0,0,0,0,3,210,1,1,1.0,78.0,0,104.0,2.0,336.4,3.0,2192,894,10
Takeya Mizugaki,2011-03-03,Reuben Duran,Bantamweight,0,0,0,0,0,0,0,0,3.0,300.0,1,0.0,0.0,402.3333333333333,3.6666666666666665,2193,1893,0
Takeya Mizugaki,2011-07-02,Brian Bowles,Bantamweight,0,43,4,0,0,19,1,1,3.0,300.0,0,300.0,3.0,208.0,2.5,2193,284,0
Takeya Mizugaki,2011-09-24,Cole Escovedo,Bantamweight,0,57,4,0,0,29,0,0,2.0,270.0,1,450.0,4.5,600.0,6.0,2193,463,0
Takeya Mizugaki,2012-02-25,Chris Cariaso,Bantamweight,2,127,5,0,0,163,3,1,3.0,300.0,0,390.0,3.6666666666666665,401.1,4.5,2193,400,0
Takeya Mizugaki,2012-11-10,Jeff Hougland,Bantamweight,2,155,7,0,0,79,1,4,3.0,300.0,1,442.5,4.25,300.0,3.0,2193,1035,0
Takeya Mizugaki,2013-03-02,Bryan Caraway,Bantamweight,2,218,11,0,0,34,6,2,3.0,300.0,1,414.0,4.0,314.55555555555554,3.3333333333333335,2193,313,0
Takeya Mizugaki,2013-08-28,Erik Perez,Bantamweight,2,285,11,0,2,67,0,1,3.0,300.0,1,395.0,3.8333333333333335,232.71428571428572,2.2857142857142856,2193,727,0
Takeya Mizugaki,2013-12-06,Nam Phan,Bantamweight,2,324,13,1,0,483,1,1,3.0,300.0,1,381.42857142857144,3.7142857142857144,500.0,5.0,2193,1701,0
Takeya Mizugaki,2014-05-24,Francisco Rivera,Bantamweight,2,476,16,1,4,220,2,3,3.0,300.0,1,371.25,3.625,325.44444444444446,3.3333333333333335,2193,772,0
Takeya Mizugaki,2014-09-27,Dominick Cruz,Bantamweight,3,511,16,1,0,150,14,1,1.0,61.0,0,363.3333333333333,3.5555555555555554,381.42857142857144,5.428571428571429,2193,640,0
Takeya Mizugaki,2015-04-18,Aljamain Sterling,Bantamweight,3,513,16,1,0,108,7,3,3.0,131.0,0,339.2,3.4,284.8333333333333,3.3333333333333335,2193,96,0
